Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature;Speed; TTFF; SNR; tbd
05/25/2018; 14:16:12;16.32757;-89.3905733;562;7;1.2;1.4;26;;21;0;0
05/25/2018; 14:31:42;16.3448417;-89.3322633;680;7;1.2;1.5;26;;29;0;0
05/25/2018; 14:46:57;16.324905;-89.32503;614;7;1.2;1.5;27;;14;0;0
05/25/2018; 15:02:07;16.3251317;-89.3250633;658;8;1.1;1.4;27;;9;0;0
05/25/2018; 15:17:13;16.32565;-89.32526;570;8;1.3;1.5;28;;4;0;0
05/25/2018; 15:32:24;16.3261233;-89.3260233;618;10;0.9;1.2;28;;11;0;0
05/25/2018; 15:47:42;16.32648;-89.32674;636;8;0.9;1.2;30;;17;0;0
05/25/2018; 16:02:46;16.3262883;-89.3272633;594;6;1.1;1.4;30;;3;0;0
05/25/2018; 16:17:58;16.32645;-89.32732;616;8;0.9;1.3;29;;11;0;0
05/25/2018; 16:33:05;16.3262067;-89.3274233;652;8;0.9;1.3;29;;6;0;0
05/25/2018; 16:48:12;16.32578;-89.3273833;656;9;0.9;1.3;30;;6;0;0
05/25/2018; 17:03:33;16.324065;-89.3270467;760;7;1.1;1.5;30;;20;0;0
05/25/2018; 17:18:38;16.3237533;-89.32717;704;8;1;1.3;30;;4;0;0
05/25/2018; 17:33:50;16.3234883;-89.3276267;626;6;1.7;1.9;31;;12;0;0
05/25/2018; 17:49:10;16.3229133;-89.3278017;620;7;1.2;1.5;31;;19;0;0
05/25/2018; 18:04:25;16.3226317;-89.327495;622;6;1.7;3.5;31;;15;0;0
05/25/2018; 18:19:31;16.3240167;-89.3268133;646;10;1;1.3;31;;4;0;0
05/25/2018; 18:34:35;16.3285233;-89.3238733;630;9;1;1.3;32;;3;0;0
05/25/2018; 18:49:40;16.328515;-89.3237933;636;10;0.8;1.1;32;;4;0;0
05/25/2018; 19:04:54;16.32819;-89.3238783;644;10;0.8;1.1;33;;13;0;0
05/25/2018; 19:20:04;16.3251467;-89.32552;658;7;1.1;1.4;33;;10;0;0
05/25/2018; 19:35:09;16.3253533;-89.3251267;658;8;0.9;1.3;33;;4;0;0
05/25/2018; 19:50:14;16.3251133;-89.325555;684;6;1.1;1.5;32;;4;0;0
05/25/2018; 20:05:22;16.3251583;-89.3254317;676;9;0.8;1.1;32;;6;0;0
05/25/2018; 20:20:30;16.3238833;-89.32681;558;7;1.1;1.3;31;;8;0;0
05/25/2018; 20:35:34;16.32333;-89.3276783;574;8;0.9;1.3;31;;3;0;0
05/25/2018; 20:50:41;16.3229367;-89.328005;558;6;1.2;1.6;31;;6;0;0
05/25/2018; 21:05:56;16.3230233;-89.32826;590;6;1.4;1.7;30;;14;0;0
05/25/2018; 21:21:04;16.3243067;-89.3279567;612;6;1.2;1.5;31;;7;0;0
05/25/2018; 21:36:15;16.324325;-89.3279317;590;6;1.1;1.4;31;;10;0;0
05/25/2018; 21:51:35;16.3243833;-89.32827;612;7;1.1;1.4;31;;19;0;0
05/25/2018; 22:06:41;16.3224367;-89.3286417;754;7;1;1.3;31;;6;0;0
05/25/2018; 22:22:09;16.3259867;-89.3246633;620;6;1.1;1.5;32;;27;0;0
05/25/2018; 22:37:37;16.3259717;-89.3248817;588;6;1.1;1.5;31;;27;0;0
05/25/2018; 22:52:47;16.32631;-89.32491;620;7;0.9;1.3;30;;9;0;0
05/25/2018; 23:07:54;16.3263133;-89.3248583;740;6;1.1;1.5;30;;6;0;0
05/25/2018; 23:23:02;16.326155;-89.3245017;614;9;0.9;1.2;30;;7;0;0
05/25/2018; 23:38:08;16.3262833;-89.3242767;650;10;0.8;1.1;29;;6;0;0
05/25/2018; 23:53:20;16.3269467;-89.32361;618;7;1;1.3;29;;11;0;0
05/26/2018; 00:08:32;16.3271483;-89.3233933;640;6;1.3;1.5;29;;11;0;0
05/26/2018; 00:23:41;16.3271617;-89.3234467;716;6;1.7;1.9;29;;7;0;0
05/26/2018; 00:39:05;16.3276433;-89.3229717;608;7;1.1;1.4;28;;23;0;0
05/26/2018; 00:54:10;16.32621;-89.32528;602;9;0.8;1.2;27;;4;0;0
05/26/2018; 01:09:16;16.32519;-89.325465;574;8;0.9;1.2;26;;6;0;0
05/26/2018; 01:24:24;16.342105;-89.36099;596;7;1;1.3;27;;6;0;0
05/26/2018; 01:39:39;16.322485;-89.4111367;500;6;1.1;1.4;26;;14;0;0
05/26/2018; 01:54:50;16.3032683;-89.420965;300;6;1.1;1.5;26;;11;0;0
05/26/2018; 02:09:57;16.3312833;-89.42004;452;7;1;1.4;26;;6;0;0
05/26/2018; 02:26:14;16.334055;-89.42418;538;7;1;1.4;27;;63;0;0
